,common_name,family,categories,origin,climate,zone,img_url
163,  Indian kale  ,Araceae,Foliage plant,  Colombia  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5785.jpg
164,  English ivy  ,Araliaceae,Hanging,  Cultivar  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5638.jpg
165,  Fidleleaf fig  ,Moraceae,Ficus,  Ouest Africa  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5622.jpg
166,  Rubber plant  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5618.jpg
167,  Japanese Aralia  ,Araliaceae,Aralia,  Japan  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5603.jpg
168,"  Miniature fishtail ,  Steel palm  ",Arecaceae,Palm,  Mexico  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5524.jpg
169,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5459.jpg
170,"  Variegated Carabbean Agave ,  Century plant  ",Amaryllidaceae,Cactus & Succulent,  India  ,Tropical,"[10, 8]",http://www.tropicopia.com/house-plant/thumbnails/5442.jpg
171,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5464.jpg
172,  Elephant ear  ,Araceae,Other,  Hybrid  ,Tropical humid,[11],http://www.tropicopia.com/house-plant/thumbnails/5487.jpg
173,  Staghorn fern  ,Polypodiaceae,Fern,  Australia  ,Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5698.jpg
174,  Peace lily  ,Araceae,Spathiphyllum,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5763.jpg
175,"  Variegated Balfour aralia ,  Aralia Balfouriana  ",Araliaceae,Aralia,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5712.jpg
176,  Grass tree  ,Liliaceae,Other,  Australia  ,Arid Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5783.jpg
177,  Cast iron plant  ,Liliaceae,Foliage plant,  China  ,Subtropical,"[11, 7]",http://www.tropicopia.com/house-plant/thumbnails/5497.jpg
178,"  Hawaiian elf ,  Parasol plant  ",Araliaceae,Schefflera,  Taiwan  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5744.jpg
179,  Guzmania  ,Bromeliaceae,Bromeliad,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5627.jpg
180,  Lipstick  ,Gesneriaceae,Hanging,  Java  ,Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5441.jpg
181,  Lady palm  ,Arecaceae,Palm,  China  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5723.jpg
182,  Velvet-leaf vine  ,Araceae,Philodendron,  Dominica  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5684.jpg
183,  Guzmania  ,Bromeliaceae,Bromeliad,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5629.jpg
184,None,Orchidaceae,Flower,  Hybrid  ,Tropical humid,"[11,11]",http://www.tropicopia.com/house-plant/thumbnails/5680.jpg
185,  Rose grape  ,Melastomataceae,Flower,  Philippines  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5659.jpg
186,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5469.jpg
187,  Striped Dracaena  ,Liliaceae,Dracaena,  Africa  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5562.jpg
188,  Zz plant  ,Araceae,Foliage plant,  South Africa  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5790.jpg
189,  Creeping fig  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5626.jpg
190,  Spindle palm  ,Arecaceae,Palm,  Rodrigue Island  ,Tropical,"[11,11]",http://www.tropicopia.com/house-plant/thumbnails/5653.jpg
191,  Willow Ficus  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5624.jpg
192,  Fernleaf Philodendron  ,Araceae,Philodendron,  Venezuela  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5688.jpg
193,"  African evergreen ,  Arrowhead vine ,  Goosefoot plant  ",Araceae,Hanging,  Cultivar  ,Tropical humid,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5771.jpg
194,  Golden Barrel  ,Cactaceae,Cactus & Succulent,  Central Mexico  ,Arid Tropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5590.jpg
195,  Madagascar dragon tree  ,Liliaceae,Dracaena,  Madagascar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5571.jpg
196,  Parrot palm  ,Arecaceae,Palm,  Brazil  ,Tropical humid,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5770.jpg
197,  Weeping fig  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,9]",http://www.tropicopia.com/house-plant/thumbnails/5611.jpg
198,"  Bower plant ,  Bower of beauty  ",Bignoniaceae,Flower,  Australia  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5676.jpg
199,  Spindle palm  ,Arecaceae,Palm,  Rodrigue Island  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5652.jpg
200,  Stromante  ,Marantaceae,Foliage plant,  Brazil  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5508.jpg
201,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5461.jpg
202,  Yellow Malaysian Dracaena  ,Liliaceae,Dracaena,  India  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5582.jpg
203,"  Ming Aralia ,  Parsley panax  ",Araliaceae,Aralia,  Malaysia  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5705.jpg
204,  Holly-fern  ,Dryopteridaceae,Fern,  Asia  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5541.jpg
205,None,Sinopteridaceae,Fern,"  Australia ,  New Guinea  ",Tropical,"[10,11]",http://www.tropicopia.com/house-plant/thumbnails/5677.jpg
206,  Snake plant  ,Liliaceae,Sansevieria,  South Africa  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5729.jpg
207,  Fernleaf Philodendron  ,Araceae,Philodendron,  Venezuela  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5687.jpg
208,  Grape Ivy  ,Vitaceae,Hanging,"  Central America ,  South America  ",Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5528.jpg
209,  Rubber plant  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5614.jpg
210,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5448.jpg
211,"  Boston fern ,  Sword fern  ",Nephrolepidaceae,Fern,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5666.jpg
